Solver,Num_Terminals,Subset_Composition,CI_Rate_Data,Instance_Index,Subsidy_Level,CI_Terminals_Combo,Pricing_Mechanism,Terminal_ID,Objective,Profit_Before,Profit_After,Profit_Change,Volume_After,Transfer_Fee,Feasibility_Status,Objective_Value,Optimality_Gap,Shapley_Value,Shapley_vs_Cooperation,In_Core,Core_Violations,Core_Stability_Score
Gurobi,3,1_1_1,0.0,0,0,3,optimized,3,MAXMIN,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,1,MAXPROF,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,2,MAXPROF,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,3,MAXPROF,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,1,MAXMIN,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,2,MAXMIN,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2,optimized,3,MAXMIN,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,1,MAXPROF,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,2,MAXPROF,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,3,MAXPROF,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,1,MAXMIN,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,2,MAXMIN,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,2_3,optimized,3,MAXMIN,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,1,MAXPROF,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,2,MAXPROF,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,3,MAXPROF,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,1,MAXMIN,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,2,MAXMIN,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1,optimized,3,MAXMIN,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,1,MAXPROF,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,2,MAXPROF,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,3,MAXPROF,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,1,MAXMIN,-5267937.191581957,1358.1285926252604,5269295.320174582,251304.13931304717,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,23644935.481954437,23643577.35336181,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,2,MAXMIN,29287255.556437183,70858694.42834482,41571438.87190764,16571.413753170753,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,53934894.868592605,-16923799.55975221,False,3,0.5
Gurobi,3,1_1_1,0.0,0,0,1_3,optimized,3,MAXMIN,39571577.27951667,67835395.59380625,28263818.314289585,50717.49180747521,0.0,Feasible Coalition (3 terminals),138695448.1507437,2.5680381057222114e-05,61115617.80019663,-6719777.793609619,False,3,0.5
